county,year,state_county_fips,state_fips_code,county_fips_code,total_admission_count,total_admission_percent,total_rate_per_100k_county_pop,felon_new_admission_count,felon_new_admission_percent,parole_violator_new_term_count,parole_violator_new_term_percent
del norte county,1996,06015,06,015,79,0.1,287.3,65,0.1,14,0.1
el dorado county,1996,06017,06,017,144,0.2,99.5,116,0.2,28,0.2
fresno county,1996,06019,06,019,1677,2.6,217.9,1295,2.8,382,2.2
glenn county,1996,06021,06,021,52,0.1,194.8,45,0.1,7,0
humboldt county,1996,06023,06,023,190,0.3,151.9,152,0.3,38,0.2
imperial county,1996,06025,06,025,144,0.2,102,96,0.2,48,0.3
inyo county,1996,06027,06,027,41,0.1,224.7,34,0.1,7,0
kern county,1996,06029,06,029,2376,3.7,380.7,1870,4,506,2.9
kings county,1996,06031,06,031,322,0.5,278.3,268,0.6,54,0.3
lake county,1996,06033,06,033,115,0.2,209.5,104,0.2,11,0.1
lassen county,1996,06035,06,035,80,0.1,245,67,0.1,13,0.1
los angeles county,1996,06037,06,037,23325,36.4,248.2,16356,35.2,6969,39.8
madera county,1996,06039,06,039,234,0.4,212.1,180,0.4,54,0.3
marin county,1996,06041,06,041,161,0.3,67.2,138,0.3,23,0.1
mariposa county,1996,06043,06,043,8,0,50.2,7,0,1,0
mendocino county,1996,06045,06,045,140,0.2,165.1,109,0.2,31,0.2
merced county,1996,06047,06,047,372,0.6,187.5,292,0.6,80,0.5
modoc county,1996,06049,06,049,18,0,180,16,0,2,0
mono county,1996,06051,06,051,10,0,95.2,7,0,3,0
monterey county,1996,06053,06,053,523,0.8,145.2,376,0.8,147,0.8
napa county,1996,06055,06,055,123,0.2,103.4,97,0.2,26,0.1
nevada county,1996,06057,06,057,49,0.1,56.3,33,0.1,16,0.1
orange county,1996,06059,06,059,4401,6.9,166.1,3329,7.2,1072,6.1
placer county,1996,06061,06,061,292,0.5,139.6,239,0.5,53,0.3
plumas county,1996,06063,06,063,14,0,69.1,13,0,1,0
riverside county,1996,06065,06,065,3628,5.7,260.4,2393,5.1,1235,7
sacramento county,1996,06067,06,067,2087,3.3,184.3,1385,3,702,4
san benito county,1996,06069,06,069,47,0.1,106.8,42,0.1,5,0
san bernardino county,1996,06071,06,071,4104,6.4,257.7,3034,6.5,1070,6.1
san diego county,1996,06073,06,073,5110,8,189.6,3657,7.9,1453,8.3
san francisco county,1996,06075,06,075,1076,1.7,140.1,758,1.6,318,1.8
san joaquin county,1996,06077,06,077,1095,1.7,205.4,917,2,178,1
san luis obispo county,1996,06079,06,079,247,0.4,107.1,191,0.4,56,0.3
san mateo county,1996,06081,06,081,698,1.1,100,525,1.1,173,1
santa barbara county,1996,06083,06,083,560,0.9,142.2,419,0.9,141,0.8
santa clara county,1996,06085,06,085,2063,3.2,125.9,1546,3.3,517,3
santa cruz county,1996,06087,06,087,265,0.4,108.8,210,0.5,55,0.3
shasta county,1996,06089,06,089,366,0.6,226.3,270,0.6,96,0.5
sierra county,1996,06091,06,091,1,0,29.7,1,0,0,0
siskiyou county,1996,06093,06,093,104,0.2,236.4,92,0.2,12,0.1
solano county,1996,06095,06,095,596,0.9,160,459,1,137,0.8
sonoma county,1996,06097,06,097,410,0.6,96.6,358,0.8,52,0.3
stanislaus county,1996,06099,06,099,708,1.1,169.2,501,1.1,207,1.2
sutter county,1996,06101,06,101,274,0.4,367.3,212,0.5,62,0.4
tehama county,1996,06103,06,103,134,0.2,246.3,111,0.2,23,0.1
trinity county,1996,06105,06,105,21,0,157.3,17,0,4,0
tulare county,1996,06107,06,107,764,1.2,216.1,610,1.3,154,0.9
tuolumne county,1996,06109,06,109,92,0.1,178.3,78,0.2,14,0.1
ventura county,1996,06111,06,111,843,1.3,117.9,676,1.5,167,1
yolo county,1996,06113,06,113,329,0.5,215.7,236,0.5,93,0.5
yuba county,1996,06115,06,115,159,0.2,262.8,116,0.2,43,0.2
alameda county,1995,06001,06,001,1754,2.8,130.1,1217,2.7,537,3.1
alpine county,1995,06003,06,003,5,0,427.4,5,0,0,0
amador county,1995,06005,06,005,19,0,58.3,15,0,4,0
butte county,1995,06007,06,007,344,0.5,175.4,290,0.6,54,0.3
calaveras county,1995,06009,06,009,14,0,37.9,13,0,1,0
colusa county,1995,06011,06,011,34,0.1,190.5,27,0.1,7,0
contra costa county,1995,06013,06,013,895,1.4,103.2,663,1.5,232,1.3
del norte county,1995,06015,06,015,78,0.1,282.6,69,0.2,9,0.1
el dorado county,1995,06017,06,017,126,0.2,87.4,100,0.2,26,0.1
fresno county,1995,06019,06,019,1812,2.9,240.3,1373,3,439,2.5
glenn county,1995,06021,06,021,42,0.1,157.9,39,0.1,3,0
humboldt county,1995,06023,06,023,205,0.3,164.7,168,0.4,37,0.2
imperial county,1995,06025,06,025,157,0.2,114.3,121,0.3,36,0.2
inyo county,1995,06027,06,027,48,0.1,260.2,38,0.1,10,0.1
kern county,1995,06029,06,029,2032,3.2,329.5,1515,3.3,517,3
kings county,1995,06031,06,031,272,0.4,236.7,228,0.5,44,0.3
lake county,1995,06033,06,033,99,0.2,179.7,81,0.2,18,0.1
lassen county,1995,06035,06,035,88,0.1,307.2,78,0.2,10,0.1
los angeles county,1995,06037,06,037,22703,36.1,242.8,15853,34.9,6850,39.2
madera county,1995,06039,06,039,280,0.4,263.2,223,0.5,57,0.3
marin county,1995,06041,06,041,142,0.2,59.4,119,0.3,23,0.1
mariposa county,1995,06043,06,043,26,0,163.5,25,0.1,1,0
mendocino county,1995,06045,06,045,154,0.2,182.7,127,0.3,27,0.2
merced county,1995,06047,06,047,373,0.6,187.9,300,0.7,73,0.4
modoc county,1995,06049,06,049,16,0,159.2,14,0,2,0
mono county,1995,06051,06,051,6,0,56.9,1,0,5,0
monterey county,1995,06053,06,053,445,0.7,123,315,0.7,130,0.7
napa county,1995,06055,06,055,177,0.3,150.3,140,0.3,37,0.2
nevada county,1995,06057,06,057,40,0.1,46.2,33,0.1,7,0
orange county,1995,06059,06,059,4638,7.4,177.4,3554,7.8,1084,6.2
placer county,1995,06061,06,061,225,0.4,110.6,181,0.4,44,0.3
plumas county,1995,06063,06,063,10,0,48.8,8,0,2,0
riverside county,1995,06065,06,065,3529,5.6,257.5,2340,5.1,1189,6.8
sacramento county,1995,06067,06,067,2092,3.3,187.2,1348,3,744,4.3
san benito county,1995,06069,06,069,48,0.1,112.5,43,0.1,5,0
san bernardino county,1995,06071,06,071,3967,6.3,250.8,2971,6.5,996,5.7
san diego county,1995,06073,06,073,5379,8.6,201.5,3783,8.3,1596,9.1
san francisco county,1995,06075,06,075,1404,2.2,186.8,990,2.2,414,2.4
san joaquin county,1995,06077,06,077,911,1.4,173.7,730,1.6,181,1
san luis obispo county,1995,06079,06,079,294,0.5,128.7,215,0.5,79,0.5
san mateo county,1995,06081,06,081,715,1.1,103.7,531,1.2,184,1.1
santa barbara county,1995,06083,06,083,592,0.9,151.3,456,1,136,0.8
santa clara county,1995,06085,06,085,2023,3.2,126.2,1543,3.4,480,2.8
santa cruz county,1995,06087,06,087,259,0.4,107.2,205,0.5,54,0.3
shasta county,1995,06089,06,089,329,0.5,204.5,255,0.6,74,0.4
sierra county,1995,06091,06,091,3,0,88.5,2,0,1,0
siskiyou county,1995,06093,06,093,98,0.2,219.5,79,0.2,19,0.1
solano county,1995,06095,06,095,549,0.9,148.2,399,0.9,150,0.9
sonoma county,1995,06097,06,097,396,0.6,94.4,338,0.7,58,0.3
stanislaus county,1995,06099,06,099,692,1.1,167.2,460,1,232,1.3
sutter county,1995,06101,06,101,279,0.4,378,202,0.4,77,0.4
tehama county,1995,06103,06,103,130,0.2,239.9,109,0.2,21,0.1
trinity county,1995,06105,06,105,36,0.1,268.7,32,0.1,4,0
tulare county,1995,06107,06,107,662,1.1,189.3,512,1.1,150,0.9
tuolumne county,1995,06109,06,109,68,0.1,132,55,0.1,13,0.1
ventura county,1995,06111,06,111,706,1.1,99.1,584,1.3,122,0.7
yolo county,1995,06113,06,113,331,0.5,219.5,232,0.5,99,0.6
yuba county,1995,06115,06,115,161,0.3,258.4,112,0.2,49,0.3
alameda county,1994,06001,06,001,1765,3,130.5,1227,3,538,3.2
alpine county,1994,06003,06,003,3,0,250,2,0,1,0
amador county,1994,06005,06,005,39,0.1,116.4,30,0.1,9,0.1
butte county,1994,06007,06,007,376,0.6,184.1,322,0.8,54,0.3
calaveras county,1994,06009,06,009,21,0,54.8,19,0,2,0
colusa county,1994,06011,06,011,36,0.1,203.4,31,0.1,5,0
contra costa county,1994,06013,06,013,832,1.4,95.1,625,1.5,207,1.2
del norte county,1994,06015,06,015,67,0.1,233.4,54,0.1,13,0.1
el dorado county,1994,06017,06,017,86,0.1,58.7,73,0.2,13,0.1
fresno county,1994,06019,06,019,1669,2.8,220.4,1210,2.9,459,2.7
glenn county,1994,06021,06,021,38,0.1,143.4,33,0.1,5,0
humboldt county,1994,06023,06,023,204,0.3,160,159,0.4,45,0.3
imperial county,1994,06025,06,025,136,0.2,97,90,0.2,46,0.3
inyo county,1994,06027,06,027,35,0.1,185.2,25,0.1,10,0.1
kern county,1994,06029,06,029,2057,3.5,330.2,1479,3.6,578,3.4
kings county,1994,06031,06,031,291,0.5,251.5,243,0.6,48,0.3
lake county,1994,06033,06,033,96,0.2,167.5,85,0.2,11,0.1
lassen county,1994,06035,06,035,87,0.1,295.9,70,0.2,17,0.1
los angeles county,1994,06037,06,037,21254,36.3,230.1,14708,35.4,6546,38.5
madera county,1994,06039,06,039,318,0.5,293.9,246,0.6,72,0.4
marin county,1994,06041,06,041,144,0.2,59,116,0.3,28,0.2
mariposa county,1994,06043,06,043,11,0,67.1,11,0,0,0
mendocino county,1994,06045,06,045,110,0.2,128.5,82,0.2,28,0.2
merced county,1994,06047,06,047,319,0.5,158.5,258,0.6,61,0.4
modoc county,1994,06049,06,049,25,0,238.1,21,0.1,4,0
mono county,1994,06051,06,051,14,0,123.9,13,0,1,0
monterey county,1994,06053,06,053,467,0.8,126.6,319,0.8,148,0.9
napa county,1994,06055,06,055,185,0.3,155.5,150,0.4,35,0.2
nevada county,1994,06057,06,057,52,0.1,59.3,39,0.1,13,0.1
orange county,1994,06059,06,059,3619,6.2,138.4,2738,6.6,881,5.2
placer county,1994,06061,06,061,227,0.4,110.5,165,0.4,62,0.4
plumas county,1994,06063,06,063,11,0,52.4,10,0,1,0
riverside county,1994,06065,06,065,3024,5.2,219.2,2064,5,960,5.6
sacramento county,1994,06067,06,067,2146,3.7,188.7,1290,3.1,856,5
san benito county,1994,06069,06,069,31,0.1,73.8,29,0.1,2,0
san bernardino county,1994,06071,06,071,3289,5.6,204.5,2415,5.8,874,5.1
san diego county,1994,06073,06,073,4868,8.3,179.9,3240,7.8,1628,9.6
san francisco county,1994,06075,06,075,1781,3,236.4,1217,2.9,564,3.3
san joaquin county,1994,06077,06,077,1046,1.8,198.6,784,1.9,262,1.5
san luis obispo county,1994,06079,06,079,219,0.4,93.4,155,0.4,64,0.4
san mateo county,1994,06081,06,081,691,1.2,100.2,496,1.2,195,1.1
santa barbara county,1994,06083,06,083,610,1,154.7,460,1.1,150,0.9
santa clara county,1994,06085,06,085,2235,3.8,140.4,1707,4.1,528,3.1
santa cruz county,1994,06087,06,087,239,0.4,99.1,175,0.4,64,0.4
shasta county,1994,06089,06,089,293,0.5,178.1,228,0.5,65,0.4
sierra county,1994,06091,06,091,4,0,117.6,4,0,0,0
siskiyou county,1994,06093,06,093,66,0.1,143.5,57,0.1,9,0.1
solano county,1994,06095,06,095,440,0.8,117.2,323,0.8,117,0.7
sonoma county,1994,06097,06,097,374,0.6,87.5,319,0.8,55,0.3
stanislaus county,1994,06099,06,099,500,0.9,119.8,337,0.8,163,1
sutter county,1994,06101,06,101,268,0.5,361.2,200,0.5,68,0.4
tehama county,1994,06103,06,103,140,0.2,254.1,123,0.3,17,0.1
trinity county,1994,06105,06,105,23,0,165.5,20,0,3,0
tulare county,1994,06107,06,107,631,1.1,179.2,466,1.1,165,1
tuolumne county,1994,06109,06,109,58,0.1,109.2,52,0.1,6,0
ventura county,1994,06111,06,111,644,1.1,90.3,505,1.2,139,0.8
yolo county,1994,06113,06,113,224,0.4,148.1,156,0.4,68,0.4
yuba county,1994,06115,06,115,151,0.3,236.7,105,0.3,46,0.3
alameda county,1993,06001,06,001,1928,3.1,143.9,1286,3,642,3.4
alpine county,1993,06003,06,003,1,0,83.3,1,0,0,0
amador county,1993,06005,06,005,44,0.1,133.3,37,0.1,7,0
butte county,1993,06007,06,007,368,0.6,186,305,0.7,63,0.3
calaveras county,1993,06009,06,009,19,0,51.4,17,0,2,0
colusa county,1993,06011,06,011,33,0.1,188.6,26,0.1,7,0
contra costa county,1993,06013,06,013,839,1.3,97.3,596,1.4,243,1.3
del norte county,1993,06015,06,015,54,0.1,190.1,44,0.1,10,0.1
el dorado county,1993,06017,06,017,116,0.2,81.2,94,0.2,22,0.1
fresno county,1993,06019,06,019,1960,3.1,264.4,1411,3.3,549,2.9
glenn county,1993,06021,06,021,38,0.1,142.9,34,0.1,4,0
humboldt county,1993,06023,06,023,213,0.3,168.2,166,0.4,47,0.2
imperial county,1993,06025,06,025,141,0.2,107,114,0.3,27,0.1
inyo county,1993,06027,06,027,48,0.1,258.1,40,0.1,8,0
kern county,1993,06029,06,029,1800,2.9,295.2,1255,2.9,545,2.8
kings county,1993,06031,06,031,312,0.5,276.4,272,0.6,40,0.2
lake county,1993,06033,06,033,130,0.2,232.1,108,0.3,22,0.1
lassen county,1993,06035,06,035,53,0.1,181.5,47,0.1,6,0
los angeles county,1993,06037,06,037,23895,38.4,259.9,16323,37.8,7572,39.5
madera county,1993,06039,06,039,260,0.4,247.4,195,0.5,65,0.3
marin county,1993,06041,06,041,124,0.2,51.3,85,0.2,39,0.2
mariposa county,1993,06043,06,043,5,0,31.3,4,0,1,0
mendocino county,1993,06045,06,045,167,0.3,198.1,140,0.3,27,0.1
merced county,1993,06047,06,047,276,0.4,140.2,202,0.5,74,0.4
modoc county,1993,06049,06,049,10,0,96.2,8,0,2,0
mono county,1993,06051,06,051,4,0,37,2,0,2,0
monterey county,1993,06053,06,053,508,0.8,134.9,304,0.7,204,1.1
napa county,1993,06055,06,055,185,0.3,156.8,146,0.3,39,0.2
nevada county,1993,06057,06,057,61,0.1,71,50,0.1,11,0.1
orange county,1993,06059,06,059,3517,5.6,136.4,2615,6.1,902,4.7
placer county,1993,06061,06,061,176,0.3,89,130,0.3,46,0.2
plumas county,1993,06063,06,063,9,0,42.9,6,0,3,0
riverside county,1993,06065,06,065,3112,5,231.6,2086,4.8,1026,5.4
sacramento county,1993,06067,06,067,2283,3.7,203.2,1297,3,986,5.1
san benito county,1993,06069,06,069,43,0.1,105.4,39,0.1,4,0
san bernardino county,1993,06071,06,071,2954,4.7,186.9,2080,4.8,874,4.6
san diego county,1993,06073,06,073,5195,8.3,194.9,3390,7.9,1805,9.4
san francisco county,1993,06075,06,075,2132,3.4,285.3,1357,3.1,775,4
san joaquin county,1993,06077,06,077,1118,1.8,215.6,783,1.8,335,1.7
san luis obispo county,1993,06079,06,079,170,0.3,73.9,126,0.3,44,0.2
san mateo county,1993,06081,06,081,699,1.1,102.6,461,1.1,238,1.2
santa barbara county,1993,06083,06,083,517,0.8,132.9,379,0.9,138,0.7
santa clara county,1993,06085,06,085,2657,4.3,168.7,1987,4.6,670,3.5
santa cruz county,1993,06087,06,087,273,0.4,114.8,215,0.5,58,0.3
shasta county,1993,06089,06,089,269,0.4,165.9,206,0.5,63,0.3
sierra county,1993,06091,06,091,4,0,117.6,3,0,1,0
siskiyou county,1993,06093,06,093,70,0.1,154.5,58,0.1,12,0.1
solano county,1993,06095,06,095,456,0.7,122.6,331,0.8,125,0.7
sonoma county,1993,06097,06,097,345,0.6,82.4,293,0.7,52,0.3
stanislaus county,1993,06099,06,099,656,1.1,160.2,430,1,226,1.2
sutter county,1993,06101,06,101,189,0.3,262.5,137,0.3,52,0.3
tehama county,1993,06103,06,103,172,0.3,319.7,144,0.3,28,0.1
trinity county,1993,06105,06,105,25,0,183.8,23,0.1,2,0
tulare county,1993,06107,06,107,594,1,172.9,453,1,141,0.7
tuolumne county,1993,06109,06,109,55,0.1,104.8,45,0.1,10,0.1
ventura county,1993,06111,06,111,599,1,85.1,464,1.1,135,0.7
yolo county,1993,06113,06,113,216,0.3,144.4,141,0.3,75,0.4
yuba county,1993,06115,06,115,202,0.3,319.6,158,0.4,44,0.2
